amp1,x01,w1,y0
5.63,496.52,17.83,-0.01
11.8,499.36,16.93,-0.04
16.24,495.72,16.15,-0.02
17.29,495.17,15.56,0.03
8.18,492.66,15.25,0.0
7.61,494.37,15.45,-0.01
17.97,496.15,14.9,-0.09
17.16,496.79,15.76,0.02
15.37,496.22,17.49,0.02
8.01,494.39,15.26,0.02
9.29,494.04,14.07,-0.08
6.6,494.07,14.22,-0.08
9.74,497.3,17.67,0.07
17.52,496.93,18.46,-0.0
8.84,496.09,17.53,-0.11
9.72,495.22,16.8,0.04
13.89,499.05,17.19,-0.02
8.41,496.18,17.89,-0.06
17.81,494.85,15.53,0.06
32.98,492.05,12.14,0.09
13.25,491.87,13.54,-0.01
10.46,496.14,16.63,0.0
10.95,493.54,15.59,0.01
17.63,494.93,14.56,0.01
10.42,492.53,13.38,-0.04
10.97,494.37,14.5,0.05
21.73,494.67,13.29,-0.02
19.09,495.42,14.41,0.03
14.5,495.53,16.08,-0.05
13.0,495.01,15.65,-0.08
17.8,498.33,16.16,-0.05
15.73,499.47,16.47,0.07
10.14,497.17,17.69,-0.06
10.49,496.67,15.99,-0.04
13.42,494.44,15.31,-0.09
15.37,496.3,17.65,-0.04
14.98,499.91,17.77,-0.12
6.25,498.66,18.16,-0.13
2.58,493.01,19.98,-0.02
7.43,494.34,15.12,0.1
10.09,498.76,16.56,-0.12
7.56,495.79,16.02,0.06
4.06,492.25,14.66,0.11
5.44,492.51,15.74,-0.08
22.58,494.77,14.03,-0.02
29.04,497.47,15.07,-0.17
18.58,497.57,16.21,0.02
11.31,498.03,19.06,-0.03
8.4,497.6,18.87,0.09
7.53,499.72,18.55,-0.06
3.39,494.38,17.82,-0.13
5.84,498.16,16.96,-0.08
11.24,493.84,14.71,-0.09
19.86,494.76,14.6,0.03
12.9,494.12,15.32,-0.07
17.27,495.48,15.16,-0.11
25.84,497.62,14.53,0.01
26.42,497.39,14.43,0.12
22.78,497.65,16.68,0.06
10.84,494.08,13.27,-0.01
20.19,495.41,14.67,0.02
14.45,495.55,15.22,-0.06
11.42,499.11,18.8,-0.06
13.45,499.91,20.47,0.02
10.19,495.87,18.4,-0.13
11.82,493.72,17.06,-0.12
9.49,497.64,18.94,-0.09
21.37,499.26,17.9,-0.05
22.99,497.09,16.65,0.03
20.03,492.63,12.85,-0.04
3.75,490.09,16.99,-0.12
4.49,491.11,17.83,0.02
20.28,491.37,13.49,-0.01
29.97,495.01,13.85,0.02
10.95,493.23,14.58,0.05
10.51,496.54,15.81,-0.0
20.58,496.42,13.76,-0.01
11.81,497.84,17.17,-0.02
9.38,499.4,19.79,-0.07
9.61,495.98,18.9,-0.15
22.82,496.52,16.5,-0.0
15.58,495.68,15.67,-0.16
12.72,497.43,17.14,-0.05
13.7,497.31,17.74,-0.1
16.22,493.53,14.88,-0.07
16.07,492.53,14.41,-0.02
13.89,498.17,18.28,0.01
8.36,497.71,16.91,-0.07
4.01,496.45,17.16,-0.11
9.48,496.28,16.5,-0.07
15.82,500.46,16.87,-0.05
7.92,497.38,17.01,-0.08
5.3,494.78,15.0,-0.08
8.06,492.69,14.22,0.01
44.41,495.07,11.98,0.1
35.02,496.0,14.4,0.03
13.46,494.98,16.27,-0.1
5.81,493.73,17.4,-0.03
